,event_name,event_date,details,wad,wwcd,wlcd,wswd,wkowd,wrd,wlrd,wtsd,wssd,wsdd,wspd,wcpd,wgpd,wttdd,wstdd,wtddd,wssubd,wspassd,wssweepd,winner_lable,finghter1wins,fighter2wins,winner,looser,fighter1,fighter2,fighter_name,result,end_round,finish_method,fighter1_str,fighter2_str,fighter1_td,fighter2_td,fighter1_sub,fighter2_sub,fighter1_pass,fighter2_pass
2515,UFC Fight Night Hunt vs. Mir,2016-03-19 00:00:00,Live on TSN 2,2,-2,-10,0,0,6,0,-262,-84,-0.04,-0.26,0.12,0.28,43,19,0.13,-1,18,0,1,1,0,Alan Patrick,Damien Brown,Alan Patrick,Damien Brown,Damien Brown,Loss,R3,Decision - Unanimous,25,15,5,1,1,1,10,2
690,UFC Fight Night Machida vs. Anders,2018-02-03 00:00:00,Live on TSN 2,3,3,-2,0,0,4,2,112,42,-0.19,-0.24,0,0.28,53,22,0.35,1,22,0,1,1,0,Alan Patrick,Damir Hadzovic,Alan Patrick,Damir Hadzovic,Damir Hadzovic,Loss,R3,Decision - Unanimous,28,20,9,0,0,1,6,0
4467,UFC Fight Night Kim vs. Hathaway,2014-03-01 00:00:00,UFC Fight Pass,6,0,0,0,0,0,0,-38,-8,0.26,0,0,0,1,0,-0.33,0,0,0,2,0,1,Wang Anying,Albert Cheng,Albert Cheng,Wang Anying,Wang Anying,Win,R1,TKO - Doctor's Stoppage,5,13,0,0,0,0,0,0
625,UFC Fight Night Emmett vs Stephens,2018-02-24 00:00:00,Live on CTV TWO,3,-6,4,-4,0,1,-1,772,263,-0.06,0.36,0,-0.47,3,2,0.71,-5,-2,-1,2,0,1,Manny Bermudez,Albert Morales,Albert Morales,Manny Bermudez,Albert Morales,Loss,R2,Submission,19,12,1,1,0,3,1,4
829,UFC Fight Night Swanson vs Ortega,2017-12-09 00:00:00,Live on TSN 5,3,-2,4,0,0,-1,39,618,200,-0.04,-0.06,0,0,8,3,-0.14,-1,2,1,2,0,1,Benito Lopez,Albert Morales,Albert Morales,Benito Lopez,Benito Lopez,Win,R3,Decision - Unanimous,78,78,0,0,0,1,0,1
1616,UFC 209 Woodley vs Thompson 2,2017-03-04 00:00:00,Live on Pay-Per-View,-3,-6,-2,0,-2,2,2,335,65,0.02,0.27,-0.24,-0.14,-3,-4,-0.04,-1,-4,1,1,1,0,Albert Morales,Andre Soukhamthath,Albert Morales,Andre Soukhamthath,Andre Soukhamthath,Loss,R3,Decision - Split,56,46,1,0,0,0,1,2
4008,UFC Fight Night Bisping vs. Le,2014-08-23 00:00:00,UFC FIGHT PASS,4,3,-1,0,4,7,2,154,25,0.01,0.17,-0.42,0.16,-1,1,-0.25,0,-3,1,1,1,0,Alberto Mina,Shinsho Anzai,Alberto Mina,Shinsho Anzai,Shinsho Anzai,Loss,R1,KO/TKO,34,31,0,1,0,0,1,1
490,UFC 224 Nunes vs Pennington,2018-05-12 00:00:00,Live on Pay-Per-View,5,-5,-2,0,4,1,0,97,18,-0.23,0.17,-0.28,0,6,-1,-0.3,-1,0,1,2,0,1,Ramazan Emeev,Alberto Mina,Alberto Mina,Ramazan Emeev,Ramazan Emeev,Win,R3,Decision - Unanimous,12,39,1,3,0,0,0,0
2146,UFC 202 Diaz vs McGregor 2,2016-08-20 00:00:00,Live on Pay-Per-View,9,-3,-2,-2,0,3,4,-524,-201,-0.19,-0.6,0.58,0.08,-12,-5,-0.07,-4,-5,1,2,0,1,Marvin Vettori,Alberto Uda,Alberto Uda,Marvin Vettori,Alberto Uda,Loss,R1,Submission,4,10,1,1,0,1,0,0
1176,UFC Fight Night Pettis vs Moreno,2017-08-05 00:00:00,Live on TSN 5,-1,9,0,0,4,-3,-1,538,149,0.11,0.16,-0.24,0.03,7,-4,-0.11,0,-4,0,1,1,0,Alejandro Perez,Andre Soukhamthath,Alejandro Perez,Andre Soukhamthath,Andre Soukhamthath,Loss,R3,Decision - Split,44,43,1,0,0,0,1,0
3750,UFC 180 Werdum vs. Hunt,2014-11-15 00:00:00,Live on Pay-Per-View,1,14,4,-2,6,-2,-3,553,158,-0.03,-0.01,0,0.03,-6,-9,0.07,-3,-11,-1,1,1,0,Alejandro Perez,Jose Quinonez,Alejandro Perez,Jose Quinonez,Jose Quinonez,Loss,R3,Decision - Unanimous,38,38,1,3,1,2,1,3
2818,UFC Fight Night Brown vs Gastelum,2015-11-21 00:00:00,TSN1,-7,22,6,-4,3,1,-1,-1054,-471,0,0.15,-0.21,0.01,-76,-40,0.04,-11,-26,-5,1,1,0,Alejandro Perez,Scott Jorgensen,Alejandro Perez,Scott Jorgensen,Alejandro Perez,Win,R2,KO/TKO,39,11,0,2,0,0,0,0
815,UFC Fight Night Swanson vs Ortega,2017-12-09 00:00:00,Live on TSN 5,-9,-13,-4,-4,-2,-4,-4,-49,-121,0.16,0.15,0,-0.11,-9,-14,0.04,-9,-36,-1,1,1,0,Alejandro Perez,Iuri Alcantara,Alejandro Perez,Iuri Alcantara,Alejandro Perez,Win,R3,Decision - Unanimous,35,38,0,0,0,0,0,0
3220,UFC 188 Velasquez vs. Werdum,2015-06-13 00:00:00,Live on Pay-Per-View,-8,14,-1,-2,6,-6,-43,787,248,0.13,0.02,-0.23,0.17,6,-2,-0.36,0,2,0,2,0,1,Patrick Williams,Alejandro Perez,Alejandro Perez,Patrick Williams,Alejandro Perez,Loss,R1,Submission,0,2,0,0,0,1,0,0
481,UFC 224 Nunes vs Pennington,2018-05-12 00:00:00,Live on Pay-Per-View,14,43,7,10,0,6,3,126,59,-0.01,-0.12,0,0.15,21,8,-0.89,8,9,1,1,1,0,Aleksei Oleinik,Junior Albini,Aleksei Oleinik,Junior Albini,Aleksei Oleinik,Win,R1,Submission,10,10,0,1,1,0,0,1
4171,UFC Fight Night Swanson vs. Stephens,2014-06-28 00:00:00,Sportsnet 360,3,42,2,10,-2,4,0,-93,-108,0.07,0.39,-0.13,-0.26,-3,-2,-0.68,8,0,1,1,1,0,Aleksei Oleinik,Anthony Hamilton,Aleksei Oleinik,Anthony Hamilton,Anthony Hamilton,Loss,R1,Submission,10,6,1,0,1,0,1,0
2237,UFC Fight Night McDonald vs Lineker,2016-07-13 00:00:00,Live on TSN 2,5,38,3,10,-2,6,4,-297,-194,0.05,0.02,-0.08,0.15,8,5,-0.57,7,8,-1,2,0,1,Daniel Omielanczuk,Aleksei Oleinik,Aleksei Oleinik,Daniel Omielanczuk,Daniel Omielanczuk,Win,R3,Decision - Majority,8,26,4,1,2,0,5,1
973,UFC 217 Bisping vs St-Pierre,2017-11-04 00:00:00,Live on Pay-Per-View,14,47,10,10,-2,0,-1,-317,-167,-0.03,0.25,0.06,-0.32,-34,-24,-0.14,8,-12,1,2,0,1,Curtis Blaydes,Aleksei Oleinik,Aleksei Oleinik,Curtis Blaydes,Curtis Blaydes,Win,R2,TKO - Doctor's Stoppage,34,39,0,4,0,0,0,1
796,UFC Fight Night Lawler vs Dos Anjos,2017-12-16 00:00:00,Live on CTV TWO,-3,12,2,0,0,-4,3,277,105,0.09,0.17,-0.07,-0.17,10,7,0.4,0,6,0,1,1,0,Alessio Di Chirico,Oluwale Bamgbose,Alessio Di Chirico,Oluwale Bamgbose,Alessio Di Chirico,Win,R2,KO/TKO,6,10,1,0,0,0,0,0
324,The Ultimate Fighter Finale Tavares vs Adesanya,2018-07-06 00:00:00,Live on TSN 3,0,5,0,-2,0,-1,45,228,104,0.11,0.18,-0.16,0,12,9,0.25,-5,5,0,1,1,0,Alessio Di Chirico,Julian Marquez,Alessio Di Chirico,Julian Marquez,Alessio Di Chirico,Win,R3,Decision - Split,50,47,4,0,0,2,2,1
2501,UFC Fight Night Rothwell vs. Dos Santos,2016-04-10 00:00:00,TSN 2,-1,-3,-4,0,0,-2,4,-121,-12,0.06,-0.04,0.12,0,0,5,0.23,-3,1,-3,2,0,1,Bojan Velickovic,Alessio Di Chirico,Alessio Di Chirico,Bojan Velickovic,Bojan Velickovic,Win,R3,Decision - Unanimous,65,45,2,1,0,1,1,1
1711,UFC Fight Night Shevchenko vs Pena,2017-01-28 00:00:00,Live on TSN 5,4,-6,5,2,-2,2,2,868,582,0.12,0.08,0,-0.18,-20,-1,0.13,0,17,7,2,0,1,Jason Knight,Alex Caceres,Alex Caceres,Jason Knight,Alex Caceres,Loss,R2,Submission,27,31,0,2,0,4,0,2
2633,UFC Fight Night Johnson vs. Bader,2016-01-30 00:00:00,Live on FOX,-1,14,11,4,0,3,41,1627,842,0.1,0.09,-0.22,0,9,8,-0.09,13,21,10,1,1,0,Alex Caceres,Masio Fullen,Alex Caceres,Masio Fullen,Masio Fullen,Loss,R3,Decision - Unanimous,74,36,1,0,0,0,0,0
1376,UFC Fight Night Holm vs Correia,2017-06-17 00:00:00,Live on Fight Network,3,5,5,4,0,4,5,1469,769,0.12,0.08,-0.18,0,7,8,-0.08,13,19,9,1,1,0,Alex Caceres,Rolando Dy,Alex Caceres,Rolando Dy,Alex Caceres,Win,R2,TKO - Doctor's Stoppage,51,20,0,1,1,0,1,1
4563,UFC Fight Night Live on Sportsnet 360,2014-01-25 00:00:00,Henderson vs. Thomson,5,-3,7,4,0,4,3,120,268,-0.02,-0.02,0,0,-16,-2,-0.09,8,7,8,1,1,0,Alex Caceres,Sergio Pettis,Alex Caceres,Sergio Pettis,Sergio Pettis,Loss,R3,Submission,53,49,1,1,1,0,1,0
3904,UFC Fight Night Hunt vs. Nelson,2014-09-20 00:00:00,UFC FIGHT PASS,-5,14,11,4,0,6,1,1740,849,0.01,0.2,-0.17,-0.18,6,5,-0.04,10,16,9,2,0,1,Masanori Kanehara,Alex Caceres,Alex Caceres,Masanori Kanehara,Masanori Kanehara,Win,R3,Decision - Unanimous,24,32,0,2,0,2,0,1
6030,UFC® 143,2012-02-04 00:00:00,Diaz vs. Condit,-4,14,11,4,-2,4,41,1381,727,0.12,0.23,0,-0.34,11,8,0.23,10,16,5,2,0,1,Edwin Figueroa,Alex Caceres,Alex Caceres,Edwin Figueroa,Alex Caceres,Loss,R3,Decision - Split,55,41,1,0,7,0,8,0
322,The Ultimate Fighter Finale Tavares vs Adesanya,2018-07-06 00:00:00,Live on TSN 3,5,2,9,4,-2,2,3,1510,785,0.14,-0.03,0,0,3,6,-0.26,13,21,10,1,1,0,Alex Caceres,Martin Bravo,Alex Caceres,Martin Bravo,Martin Bravo,Loss,R3,Decision - Split,82,78,0,3,0,0,1,0
3316,UFC Fight Night Miocic vs. Hunt,2015-05-09 00:00:00,FIGHT NETWORK,13,5,5,0,0,-2,-1,-480,-185,-0.02,0.01,0,-0.01,-2,-4,-0.09,0,-6,-1,1,1,0,Alex Chambers,Kailin Curran,Alex Chambers,Kailin Curran,Alex Chambers,Win,R3,Submission,44,81,2,2,2,0,0,1
926,UFC Fight Night Werdum vs Tybura,2017-11-18 00:00:00,Live on TSN 5,17,0,5,2,0,-3,-2,145,83,0.15,-0.04,0.03,0.11,16,7,0.1,-3,4,-2,2,0,1,Nadia Kassem,Alex Chambers,Alex Chambers,Nadia Kassem,Alex Chambers,Loss,R3,Decision - Unanimous,45,52,4,0,0,6,4,1
2601,UFC Fight Night Cowboy vs. Cowboy,2016-02-21 00:00:00,Live on TSN 2,4,-5,3,0,0,-4,-2,-806,-312,-0.06,-0.03,0.14,-0.15,36,18,-0.15,-3,8,1,2,0,1,Sean Strickland,Alex Garcia,Alex Garcia,Sean Strickland,Sean Strickland,Win,R3,KO/TKO,23,84,3,1,0,0,0,2
46,UFC Fight Night Volkan vs Smith,2018-10-27 00:00:00,Live on TSN 5,-2,-5,-1,-2,4,-3,-2,-1790,-681,-0.04,-0.07,0.14,-0.11,-46,4,0.04,-5,-3,0,2,0,1,Court McGee,Alex Garcia,Alex Garcia,Court McGee,Alex Garcia,Loss,R3,Decision - Unanimous,27,51,1,2,0,0,2,4
856,UFC 218 Holloway vs Aldo 2,2017-12-02 00:00:00,Live on Pay-Per-View,-1,4,-1,0,3,1,2,-418,-39,-0.02,-0.37,0.32,0.22,64,25,-0.25,3,14,-2,2,0,1,Yancy Medeiros,Alex Oliveira,Alex Oliveira,Yancy Medeiros,Yancy Medeiros,Win,R3,KO/TKO,93,75,2,1,0,0,1,2
2870,UFC Fight Night Belfort vs Henderson,2015-11-07 00:00:00,FS1,-1,19,4,2,8,5,2,30,59,-0.13,-0.15,0.07,0.08,40,14,-0.13,5,12,0,1,1,0,Alex Oliveira,Piotr Hallmann,Alex Oliveira,Piotr Hallmann,Alex Oliveira,Win,R3,KO/TKO,42,36,0,1,0,0,1,1
2207,UFC Fight Night Holm vs Shevchenko,2016-07-23 00:00:00,Live on CTV 2,0,19,4,4,6,5,2,351,198,0.05,-0.09,0.14,-0.05,66,26,-0.21,6,17,0,1,1,0,Alex Oliveira,James Moontasri,Alex Oliveira,James Moontasri,James Moontasri,Loss,R3,Decision - Unanimous,58,12,2,0,0,0,1,0
86,UFC Fight Night Santos vs Anders,2018-09-22 00:00:00,Live on TSN 5,5,8,3,6,8,1,3,458,271,-0.15,-0.51,0.32,0.22,63,23,0.58,7,18,0,1,1,0,Alex Oliveira,Carlo Pedersoli,Alex Oliveira,Carlo Pedersoli,Alex Oliveira,Win,R1,KO/TKO,7,2,0,0,0,0,0,0
3165,UFC Fight Night Machida vs. Romero,2015-06-27 00:00:00,TSN,-4,19,4,6,8,3,43,641,340,0.46,0.46,0.32,0.22,67,26,0.58,7,19,0,1,1,0,Alex Oliveira,Joe Merritt,Alex Oliveira,Joe Merritt,Alex Oliveira,Win,R3,Decision - Unanimous,11,23,5,0,2,0,6,1
1593,UFC Fight Night Belfort vs Gastelum,2017-03-11 00:00:00,Live on TSN 5,-4,-8,-6,4,0,1,0,-1258,-513,-0.17,-0.32,0.2,0.22,49,18,-0.06,5,11,-2,1,1,0,Alex Oliveira,Tim Means,Alex Oliveira,Tim Means,Tim Means,Loss,R2,Submission,12,9,6,0,1,0,1,1
1161,Tuesday Night Contender Series Live on UFC FIGHT PASS,2017-08-08 00:00:00,Las Vegas,-7,12,0,4,2,-2,38,284,137,0.62,0.71,0.2,0,16,7,1,3,2,0,1,1,0,Alex Perez,Kevin  Gray,Alex Perez,Kevin  Gray,Kevin  Gray,Loss,R1,Submission,13,10,0,0,1,0,0,0
192,UFC 227 Dillashaw vs Garbrandt 2,2018-08-04 00:00:00,Live on Pay-Per-View,0,13,3,4,0,0,1,146,86,0.12,-0.02,0.02,0,13,6,0.25,3,2,-1,1,1,0,Alex Perez,Jose Torres,Alex Perez,Jose Torres,Alex Perez,Win,R1,KO/TKO,84,29,0,0,0,0,0,0
3709,UFC 181 Hendricks vs. Lawler II,2014-12-06 00:00:00,Live on Pay-Per-View,5,12,5,0,4,-2,41,41,79,0.13,-0.05,0.08,0,-17,-6,-0.03,-1,0,1,2,0,1,Clay Collard,Alex White,Alex White,Clay Collard,Alex White,Loss,R3,Decision - Unanimous,58,60,1,3,1,2,1,0
1960,UFC Fight Night Dos Anjos vs Ferguson,2016-11-05 00:00:00,Live on TSN 5,-13,3,-4,0,0,2,-1,167,49,0.17,0.04,-0.06,0,-22,0,-0.16,0,-3,0,1,1,0,Alexa Grasso,Heather Jo Clark,Alexa Grasso,Heather Jo Clark,Heather Jo Clark,Loss,R3,Decision - Unanimous,65,40,1,0,0,0,0,0
1685,UFC Fight Night Bermudez vs Korean Zombie,2017-02-04 00:00:00,Live on TSN,-9,-4,-6,-4,0,1,1,-503,-154,0.18,0.05,0,0,-24,-7,-0.12,-5,-28,-2,2,0,1,Felice Herrig,Alexa Grasso,Alexa Grasso,Felice Herrig,Felice Herrig,Win,R3,Decision - Unanimous,80,60,0,2,1,0,0,2
464,UFC Fight Night Maia vs Usman,2018-05-19 00:00:00,Live on TSN 2,-2,2,2,-4,-2,-1,37,273,44,0.26,0.63,0.21,-0.84,-20,-17,-0.36,-1,-30,1,2,0,1,Tatiana Suarez,Alexa Grasso,Alexa Grasso,Tatiana Suarez,Tatiana Suarez,Win,R1,Submission,6,2,0,2,0,1,0,4
1522,UFC Fight Night Johnson vs Reis,2017-04-15 00:00:00,Live on CTV TWO & TSN 5,-12,6,-7,0,-12,8,3,-396,32,0.1,0.07,-0.07,0,-46,-10,0.09,-1,-10,0,1,1,0,Alexander Volkov,Roy Nelson,Alexander Volkov,Roy Nelson,Roy Nelson,Loss,R3,Decision - Unanimous,122,32,0,1,0,0,0,2
1118,UFC Fight Night Volkov vs Struve,2017-09-02 00:00:00,Live on Fight Network,0,-3,-4,-7,-6,-4,-1,-354,-48,0.09,-0.04,0.12,-0.12,-4,0,0.2,-20,-12,-6,1,1,0,Alexander Volkov,Stefan Struve,Alexander Volkov,Stefan Struve,Alexander Volkov,Win,R3,KO/TKO,135,41,2,0,0,0,1,0
1280,UFC Fight Night Nelson vs Ponzinibbio,2017-07-16 00:00:00,Live on FS1,-11,3,-10,0,0,3,-2,-293,-90,0.01,0.03,0.04,-0.12,-13,-2,0.07,-5,8,-1,1,1,0,Alexandre Pantoja,Neil Seery,Alexandre Pantoja,Neil Seery,Alexandre Pantoja,Win,R3,Submission,119,82,1,0,1,0,2,0
1694,UFC Fight Night Shevchenko vs Pena,2017-01-28 00:00:00,Live on TSN 5,1,8,-3,2,0,-1,0,81,48,-0.06,0.26,0.17,-0.46,-28,-14,0.18,4,5,1,1,1,0,Alexandre Pantoja,Eric Shelton,Alexandre Pantoja,Eric Shelton,Alexandre Pantoja,Win,R3,Decision - Split,37,32,1,4,2,0,2,0
113,UFC Fight Night Hunt vs Oleinik,2018-09-15 00:00:00,Live on Fight Network,-1,-8,-13,-2,-10,0,0,-2187,-908,0.04,0.14,-0.11,-0.12,-17,-12,-0.63,-6,-23,-2,1,1,0,Alexey Kunchenko,Thiago Alves,Alexey Kunchenko,Thiago Alves,Thiago Alves,Loss,R3,Decision - Unanimous,44,56,1,0,0,0,0,0
227,UFC Fight Night Alvarez vs Poirier,2018-07-28 00:00:00,Live on CTV TWO,5,8,7,2,2,0,-5,-103,46,-0.09,-0.22,0.16,0.12,2,6,-0.21,8,10,4,2,0,1,Katlyn Chookagian,Alexis Davis,Alexis Davis,Katlyn Chookagian,Katlyn Chookagian,Win,R3,Decision - Unanimous,70,62,1,0,0,0,0,0
1498,UFC Fight Night Swanson vs Lobov,2017-04-22 00:00:00,Live on TSN 5,0,11,5,2,2,68,37,732,301,-0.03,0.12,-0.01,-0.11,6,1,0.35,9,10,4,1,1,0,Alexis Davis,Cindy Dandois,Alexis Davis,Cindy Dandois,Cindy Dandois,Loss,R3,Decision - Unanimous,51,47,0,5,2,0,2,0
813,UFC Fight Night Swanson vs Ortega,2017-12-09 00:00:00,Live on TSN 5,0,8,2,2,-1,2,0,391,66,-0.05,0.18,0.01,-0.19,-19,-16,-0.32,7,-9,4,1,1,0,Alexis Davis,Liz Carmouche,Alexis Davis,Liz Carmouche,Liz Carmouche,Loss,R3,Decision - Split,23,49,1,4,2,0,2,2
4495,UFC 170 Rousey vs. McMann,2014-02-22 00:00:00,Live on Pay-Per-View,2,7,2,2,2,2,-1,-321,-84,-0.03,-0.09,0.02,0.12,8,1,-0.26,2,2,4,1,1,0,Alexis Davis,Jessica Eye,Alexis Davis,Jessica Eye,Jessica Eye,Loss,R3,Decision - Split,53,47,2,0,0,0,2,0
